ETF,date,price,index
VT,04/08/2021,103.569946,130.2440891
VT,05/08/2021,104.084038,130.8905841
VT,06/08/2021,103.995064,130.7786951
VT,07/08/2021,,0
VT,08/08/2021,,0
VT,09/08/2021,103.945625,130.7165232
VT,10/08/2021,104.024712,130.8159788
VT,11/08/2021,104.439941,131.3381489
VT,12/08/2021,104.439941,131.3381489
VT,13/08/2021,104.677216,131.6365334
VT,14/08/2021,,0
VT,15/08/2021,,0
VT,16/08/2021,104.439941,131.3381489
VT,17/08/2021,103.461189,130.1073221
VT,18/08/2021,102.769142,129.2370404
VT,19/08/2021,102.235283,128.5656875
VT,20/08/2021,102.858116,129.3489294
VT,21/08/2021,,0
VT,22/08/2021,,0
VT,23/08/2021,103.93573,130.7040798
VT,24/08/2021,104.49926,131.4127453
VT,25/08/2021,104.687103,131.6489667
VT,26/08/2021,103.995064,130.7786951
VT,27/08/2021,105.102333,132.171138
VT,28/08/2021,,0
VT,29/08/2021,,0
VT,30/08/2021,105.349487,132.4819458
VT,31/08/2021,105.398926,132.5441177
VT,01/09/2021,105.91301,133.1906026
VT,02/09/2021,106.239265,133.6008836
VT,03/09/2021,106.427109,133.8371063
VT,04/09/2021,,0
VT,05/09/2021,,0
VT,06/09/2021,,0
VT,07/09/2021,106.140404,133.4765612
VT,08/09/2021,105.606537,132.8051983
VT,09/09/2021,105.32972,132.4570879
VT,10/09/2021,104.79586,131.7857338
VT,11/09/2021,,0
VT,12/09/2021,,0
VT,13/09/2021,105.171539,132.2581678
VT,14/09/2021,104.548691,131.4749071
VT,15/09/2021,105.181427,132.2706025
VT,16/09/2021,104.944153,131.9722192
VT,17/09/2021,103.906082,130.666796
VT,18/09/2021,,0
VT,19/09/2021,,0
VT,20/09/2021,102.032181,128.3102772
VT,21/09/2021,102.349792,128.709688
VT,22/09/2021,103.332397,129.9453601
VT,23/09/2021,104.49366,131.405703
VT,24/09/2021,104.116501,130.9314078
VT,25/09/2021,,0
VT,26/09/2021,,0
VT,27/09/2021,104.04702,130.8440322
VT,28/09/2021,101.883301,128.1230536
VT,29/09/2021,101.764198,127.9732759
VT,30/09/2021,101.069427,127.0995686
VT,01/10/2021,101.883301,128.1230536
VT,02/10/2021,,0
VT,03/10/2021,,0
VT,04/10/2021,100.692261,126.6252646
VT,05/10/2021,101.476364,127.6113111
VT,06/10/2021,101.476364,127.6113111
VT,07/10/2021,102.478821,128.871948
VT,08/10/2021,102.37957,128.7471352
VT,09/10/2021,,0
VT,10/10/2021,,0
VT,11/10/2021,101.843597,128.0731239
VT,12/10/2021,101.764198,127.9732759
VT,13/10/2021,102.488747,128.8844304
VT,14/10/2021,103.908066,130.669291
VT,15/10/2021,104.64254,131.5929267
VT,16/10/2021,,0
VT,17/10/2021,,0
VT,18/10/2021,104.741791,131.7177395
VT,19/10/2021,105.496117,132.66634
VT,20/10/2021,105.883202,133.1531176
VT,21/10/2021,105.833572,133.0907055
VT,22/10/2021,105.893127,133.1655988
VT,23/10/2021,,0
VT,24/10/2021,,0
VT,25/10/2021,106.240517,133.6024581
VT,26/10/2021,106.19088,133.5400372
VT,27/10/2021,105.56559,132.7537055
VT,28/10/2021,106.518417,133.9519304
VT,29/10/2021,106.270287,133.6398952
VT,30/10/2021,,0
VT,31/10/2021,,0
VT,01/11/2021,106.925362,134.4636829
VT,02/11/2021,106.945206,134.4886377
VT,03/11/2021,107.659836,135.3873186
VT,04/11/2021,107.838486,135.6119794
VT,05/11/2021,108.185875,136.0488374
VT,06/11/2021,,0
VT,07/11/2021,,0
