sector,date,index
cons_stap,15/01/2021,101.3254902
cons_stap,01/02/2021,99.52941176
cons_stap,15/02/2021,101.6313725
cons_stap,01/03/2021,97.70196078
cons_stap,15/03/2021,100.7529412
cons_stap,01/04/2021,102.5647059
cons_stap,15/04/2021,105.4862745
cons_stap,30/04/2021,105.5294118
cons_stap,15/05/2021,108.1098039
cons_stap,01/06/2021,108.4470588
cons_stap,15/06/2021,109.5882353
cons_stap,02/07/2021,107.9098039
cons_stap,15/07/2021,108.9882353
cons_stap,02/08/2021,109.454902
cons_stap,16/08/2021,110.8235294
cons_stap,01/09/2021,110.5960784
cons_stap,15/09/2021,109.2862745
cons_stap,01/10/2021,105.254902
cons_stap,15/10/2021,107.572549
cons_stap,01/11/2021,109.3882353
cons_stap,15/11/2021,111.4
cons_stap,01/12/2021,106.3176471
cons_stap,15/12/2021,112.3215686
cons_stap,31/12/2021,115
energy,22/01/2020,100
energy,03/02/2020,92.17614142
energy,17/02/2020,93.71894775
energy,02/03/2020,81.88902254
energy,16/03/2020,48.81543852
energy,01/04/2020,54.38000105
energy,01/05/2020,62.00512525
energy,15/05/2020,61.30432509
energy,01/06/2020,66.79043983
energy,15/06/2020,67.04670258
energy,01/07/2020,64.17551383
energy,15/07/2020,65.38360964
energy,03/08/2020,62.53857016
energy,17/08/2020,65.74969928
energy,18/08/2020,65.0070603
energy,01/09/2020,62.26661785
energy,16/09/2020,59.67784112
energy,01/10/2020,52.45541551
energy,15/10/2020,54.52120705
energy,02/11/2020,52.46587522
energy,16/11/2020,63.37534648
energy,01/12/2020,65.83337692
energy,15/12/2020,70.41995712
energy,01/01/2021,67.53830867
energy,15/01/2021,74.88102087
energy,01/02/2021,69.39490612
energy,15/02/2021,76.27739135
energy,01/03/2021,81.3817269
energy,15/03/2021,86.77893416
energy,01/04/2021,82.56367345
energy,15/04/2021,81.7844255
energy,30/04/2021,81.69028816
energy,15/05/2021,87.45358506
energy,01/06/2021,88.12300612
energy,15/06/2021,91.81005178
energy,02/07/2021,89.02777051
energy,15/07/2021,84.37843209
energy,02/08/2021,82.0563778
energy,16/08/2021,81.08885519
energy,01/09/2021,80.17886094
energy,15/09/2021,84.05941112
energy,01/10/2021,89.64489305
energy,15/10/2021,96.06192145
energy,01/11/2021,96.29726479
energy,15/11/2021,94.26285236
energy,01/12/2021,88.09685686
energy,15/12/2021,88.84472569
energy,31/12/2021,91.23476806
financials,22/01/2020,100
financials,03/02/2020,97.4548636
financials,17/02/2020,101.2089398
financials,02/03/2020,89.77173308
financials,16/03/2020,63.81134176
financials,01/04/2020,64.38399745
financials,01/05/2020,70.50823193
financials,15/05/2020,66.80983059
financials,01/06/2020,75.097431
financials,15/06/2020,77.06195816
financials,01/07/2020,75.61441183
financials,15/07/2020,79.35258093
financials,03/08/2020,77.81754553
financials,17/08/2020,80.72059174
financials,18/08/2020,80.35472839
financials,01/09/2020,81.42050426
financials,16/09/2020,80.51379941
financials,01/10/2020,77.11763302
financials,15/10/2020,79.09806729
financials,02/11/2020,77.24488984
financials,16/11/2020,89.03205281
financials,01/12/2020,91.97486678
financials,15/12/2020,92.96110713
financials,01/01/2021,94.98130915
financials,15/01/2021,98.82287441
financials,01/02/2021,94.22572178
financials,15/02/2021,101.5827567
financials,01/03/2021,104.8437127
financials,15/03/2021,108.3432753
financials,01/04/2021,107.9615048
financials,15/04/2021,109.9896604
financials,30/04/2021,112.3280045
financials,15/05/2021,116.3843156
financials,01/06/2021,118.1738646
financials,15/06/2021,115.9389167
financials,02/07/2021,113.9107612
financials,15/07/2021,112.6541001
financials,02/08/2021,113.2506164
financials,16/08/2021,117.8000477
financials,01/09/2021,117.0524139
financials,15/09/2021,116.2570588
financials,01/10/2021,115.7400779
financials,15/10/2021,120.2736022
financials,01/11/2021,122.6835282
financials,15/11/2021,122.031337
financials,01/12/2021,114.3084387
financials,15/12/2021,116.5513402
financials,31/12/2021,118.8181023
